ID,Temperature (°C),Vibration (mm/s),Speed (RPM),Lubricant Type,Load (kN),Operating Time (hrs),Material,Shaft Misalignment (mm),Maintenance Frequency (per month),Fault Frequency (per 1000 hrs),Failure
1,97.45071229516849,4.399355436586002,1597.4465175076855,Mineral,2.959545034386072,1773.4987218843098,Steel,0.07667625572936673,3,0.5090822463485916,No
2,87.92603548243223,3.924633682912769,1756.6443987853447,Mineral,3.815761960554497,1342.3612039396596,Composite,0.07125531736239944,1,0.07179854327799284,No
3,99.71532807151038,3.0596303699201743,1562.2740237000116,Mineral,2.2459144373306454,1227.8617205470537,Ceramic,0.06341312198918862,2,0.6870504922761567,No
4,112.84544784612038,2.353063222294426,1707.6115411082878,Synthetic,2.904893948064399,786.7627778923879,Steel,0.08461022061692565,3,0.5781124005528383,No
5,86.48769937914996,3.69822331361359,1231.9155999138643,Semi-Synthetic,5.074185392178971,967.7261659328924,Ceramic,0.07869411600486001,3,0.6596002328866174,No
6,86.4879456457623,3.3934853854217497,1863.9881122118816,Semi-Synthetic,3.082650733807877,1183.246529753168,Steel,0.06755892839819098,0,0.500740722842016,No
7,113.68819223261087,3.8951932200277324,1800.3616426086674,Mineral,4.735524254125098,1041.0670587471513,Composite,0.05892026764650048,0,0.15479492561246722,No
8,101.51152093729362,3.6351718016819694,1554.8734106795428,Synthetic,5.65848504196808,1507.8769278812954,Ceramic,0.022840086426471944,0,0.49997814442625715,No
9,82.95788421097572,4.049552715319335,1997.7737005297215,Semi-Synthetic,3.8220618250080616,1360.1109602905913,Ceramic,0.05828588766944989,4,0.6869291250948272,No
10,98.13840065378947,2.464764788439432,2081.2710412879674,Mineral,4.5198634397998125,2007.7135762940911,Steel,0.06463114561217084,3,0.14290736316012054,No
11,83.04873460781306,4.317394065634326,1317.7320406893077,Semi-Synthetic,4.74331212954292,905.7424690727125,Steel,0.08453693216500527,0,0.1667521950236165,No
12,83.01405369644614,3.1975996046923996,1571.1825664301357,Semi-Synthetic,2.7785049369334347,1209.93438341752,Ceramic,0.13889257654044512,1,0.42617468421466714,No
13,93.62943407349051,5.0752608726252655,1569.2572950638105,Synthetic,3.383547654698953,784.9522882397127,Steel,0.061521314194597436,4,0.388601139490302,No
14,61.30079633013303,2.310812181910432,1518.0290696673405,Synthetic,2.996338788328198,533.2677676229026,Ceramic,0.049288074387584896,2,0.49515084961437017,No
15,64.12623251230451,4.73596380316525,2048.8424525795244,Semi-Synthetic,3.4632768899169712,1416.8162938359458,Steel,0.05856511726090707,3,0.4124906162888159,No
16,81.5656870613854,3.197910783462648,1741.852158368159,Mineral,4.716110698081099,1348.9846148902068,Composite,0.08460034302806345,3,0.5479998637391562,No
17,74.80753319498365,2.3485819963855517,1720.6455476068168,Synthetic,3.4048032690577084,943.6228696062631,Steel,0.09765906379388818,1,0.8665454058348074,No
18,94.71370998892911,2.5161141659456785,1198.841290677974,Semi-Synthetic,3.964846773068183,1227.9088858780271,Composite,0.10185035639208628,2,0.6615165165792072,No
19,76.37963886718184,2.6796526918056798,1990.6254090627679,Synthetic,2.9575383830687647,1011.2197203223366,Steel,0.10483123994702799,2,0.5168454963009252,No
20,68.81544447997062,3.4241659464019163,1428.222481543958,Synthetic,5.226422164533702,1051.7377635470173,Steel,0.10907691762835925,4,0.16798653591626833,No
21,111.98473153382331,3.5228354880354997,1817.9797890798984,Synthetic,3.454890009776663,1103.9146161701178,Ceramic,0.07163349087580491,3,0.2834040236673382,No
22,86.61335549270197,2.426299996061421,1883.2130813874576,Semi-Synthetic,5.522980551909955,931.0304467787166,Steel,0.14159420551223623,0,0.7525202537140534,No
23,91.01292307031886,2.9756454077390173,2208.1975787515953,Mineral,4.06092909384936,985.005027054013,Steel,0.06935694436523708,1,0.35945438184250483,No
24,68.62877720679815,5.142270358611864,1407.3538802642663,Mineral,2.593000422036921,993.4693668167238,Composite,0.08328021729022728,1,0.20967436145188623,No
25,81.83425913212226,4.727543170100711,894.1463532537524,Mineral,3.8289732534543757,1326.8636540259993,Steel,0.11887481215318076,1,1.129409935633638,No
26,91.66383884564799,3.436323669674032,1855.1548634261085,Synthetic,2.9372231725338356,367.73394720455565,Ceramic,0.09699275083963298,1,0.9573378121780028,No
27,72.73509633866546,3.0380034781682004,2340.153354453256,Semi-Synthetic,4.589349377378153,1131.7112215545592,Composite,0.01277459767931785,0,0.4626639742601435,No
28,95.63547027518509,3.1200313267182613,2171.6839058818314,Synthetic,3.7386372176731335,873.695437038698,Ceramic,0.08016907490890558,0,0.1752006495293783,No
29,80.99041965121792,3.6135179727304165,1862.8978245823878,Mineral,4.163210255027354,884.5341941324158,Ceramic,0.1058589426825946,4,0.7170076541818842,No
30,85.62459375310085,1.9772074348015944,1652.5091443103859,Mineral,3.630646889953437,1042.3039877748824,Ceramic,0.03969589161411326,3,0.35297960050126276,No
31,80.97440081655904,2.742623462576655,2042.136778991193,Semi-Synthetic,3.444657696136675,1195.6980870080527,Ceramic,0.10252078385386959,0,0.7665598288436144,No
32,117.78417276763406,1.3314159261224106,1507.9361400886594,Synthetic,3.026377990384373,1135.676441487992,Composite,0.0917046182004036,4,0.35328397677121187,No
33,89.79754162893099,3.3992231226052794,1942.9073308068657,Mineral,4.836222936821529,880.7818470605387,Steel,0.11551761451554118,2,0.9936186703685768,No
34,74.1343360656615,3.647195939702741,1951.641047749988,Semi-Synthetic,3.8268468982003023,1416.508955533673,Ceramic,0.05924206032984077,3,0.3443775105812457,No
35,102.33817368154783,2.516813537700626,2118.0629722496637,Synthetic,3.685309106301616,929.2188039418528,Composite,0.10987680246767735,0,1.2094200453810797,No
36,71.68734525043467,4.573986763290033,2627.8980116733233,Synthetic,3.80178610155784,979.5881232221647,Ceramic,0.08478824742202494,2,0.5585173354639045,No
37,93.13295392507133,1.7742343369976588,1917.72479015363,Mineral,3.3211382065142256,1285.347535768355,Steel,0.13298150912156864,4,0.9152916902163319,No
38,60.60494814180336,1.5356251197901798,1647.3109122877504,Mineral,3.6886485732239747,1296.1105692878225,Composite,0.16358149813439976,0,0.3379698922970398,No
39,70.07720926652354,3.224451818559972,1792.3277063424016,Synthetic,4.205629814693488,1016.4901016601065,Composite,0.1261499131715766,0,0.1065949243975457,No
40,92.95291853803685,4.047098302612154,1269.2772285332644,Synthetic,2.965863000943235,319.15139097025303,Steel,0.09441556034324673,2,0.0,No
41,101.07699869993115,4.6839276914578685,1591.5860606732826,Mineral,3.1106480069207922,934.3527340236456,Composite,0.14963011988185415,0,0.8829811514240095,No
42,92.57052421784955,2.5411157371310598,1677.2152685660687,Synthetic,5.378284093622674,1248.5664558720769,Steel,0.09810434125003951,1,0.5204041729928124,No
43,88.2652757641764,4.078680833431296,1642.7734806196222,Mineral,3.637243467200444,1406.582416107009,Composite,0.052761628594321514,0,0.12572736484348762,No
44,85.48344456616067,2.9614915304992926,1845.7064616101165,Synthetic,3.44843919107599,1176.211002741466,Composite,0.07882180079145275,3,0.8954609153257567,No
45,67.82217014448858,2.8273727000591804,1553.2740202853397,Mineral,2.6561283944407243,1056.3041858773154,Steel,0.10285016558885005,2,0.8467982050282481,No
46,79.20233687407936,3.8836599374866725,2136.3092001973414,Semi-Synthetic,4.85067763747424,1887.9633017097972,Steel,0.10477862466860192,3,0.9147157521111605,No
47,83.09041843560318,3.6523228784134196,1800.0621194754592,Mineral,2.9440741864891566,1088.2541635483938,Composite,0.04624205330577021,4,0.09806419146714229,No
48,105.85683339328374,1.4236078430157506,1797.2099036584157,Mineral,3.984707339038542,1383.6698060373317,Composite,0.04719403140620983,3,0.873923390313726,No
49,95.15427434352692,4.476540349725896,1701.6315850461247,Semi-Synthetic,2.2918149306834095,799.4843713719312,Steel,0.06976070461370455,1,0.6152125927026628,No
50,63.554397669558995,4.380091354147451,1846.5572051576937,Synthetic,4.818172800364117,872.9496452373098,Steel,0.09603630840368571,1,0.9282869111922729,No
51,94.86125954092192,2.3744372984904705,2047.5294794002905,Semi-Synthetic,5.17685624361858,1394.1976834386674,Composite,0.09987687649639758,3,0.6628193493633147,No
52,84.22376579375525,3.395803533437409,1539.86093528673,Mineral,4.484520345478015,1513.3683827356112,Composite,0.08423915372314432,4,0.5519046688542913,No
53,79.84616999541062,3.494030186282739,1602.565053277423,Synthetic,2.4655198685947033,1083.0849329419789,Composite,0.054967137994470575,0,0.8779955703386656,No
54,99.17514433261302,3.260673765823907,1708.8821913670006,Semi-Synthetic,4.83876214390923,645.4092925108438,Steel,0.13210828829057908,1,0.755569831455295,No
55,105.46499283743927,2.4496948461545798,1396.2387229580354,Synthetic,3.1726510003596475,1149.7327981796323,Composite,0.04783825814470881,3,0.8245296796319099,No
56,103.96920178674299,2.3283766320619486,1554.2226420835507,Synthetic,2.8290281212783874,1256.8217702338684,Ceramic,0.11907022234561285,3,0.3535857798047637,No
57,77.41173715166042,2.9744459290085548,1657.1337379366023,Semi-Synthetic,3.6165389542423467,1229.6454116786474,Steel,0.10216469850351097,3,0.44827718780165643,No
58,85.36181436223178,4.172729019259364,2062.316754213818,Synthetic,3.5966323266535105,1030.9831005116985,Composite,0.11840996911615186,0,0.0,No
59,94.96895147105346,3.5436001545944324,1878.7683987005776,Semi-Synthetic,3.4949513488197104,1154.1347642217186,Steel,0.06666700121231249,2,0.3319627792800215,No
60,104.63317690683539,2.629385667913894,1858.0769734102632,Mineral,5.273674247904694,975.0669467147683,Ceramic,0.07572037405732387,4,0.7371180615916908,No
61,82.81238643232065,3.771698710648345,2055.2693886503916,Synthetic,6.011825996442626,866.4485328789419,Steel,0.08165127671843131,2,0.6692563452795164,No
62,87.21511535004274,0.5,1758.788463480181,Mineral,2.6308634626505354,1426.7005561940414,Composite,0.06570806718195454,4,0.20614036702090816,No
63,73.40497538990958,4.1487657003721035,1917.139454978667,Mineral,3.3111676056754096,1229.3394940208132,Ceramic,0.08675775360485295,4,0.8847036260705279,No
64,72.05690063878994,1.2602862212219004,1769.0334741202512,Synthetic,4.142748336044956,1154.794932413301,Ceramic,0.12737268368213622,3,1.3919225856110855,No
65,102.18788733591298,2.637559058596868,1879.6087048198885,Semi-Synthetic,3.6112835090627726,1047.8556771683516,Composite,0.04109498458496081,1,0.22918266362640682,No
